Bin.,No.,Description,Packing Size,UOM
13-LL2,ZZTSTS4.5LTR,TUNGSAN TOMATO SAUCE,4.5 LTR / TUB,TUB
13-LM1,ZZOS5LTR,BEE HIANG OYSTER SAUCE,4 X 5LTR,TUB
13-LM1,ZZCP3KG,HAI'S CHILLI PASTE,2 x 3KG,PKT
13-LM2,ZZABCKM6LTR,ABC KICAP MANIS,6KG / TUB,TUB
13-LM2,ZZRS2100GM,READY MADE ROJAK SAUCE,3.8KG / TUB,TUB
13-LM2,ZZTLS5LTR,TUNGSAN LEMON SAUCE,5LTR / TUB,TUB
13-LM2,ZZTSTC5KG,TUNGSAN SAMBAL TUMIS COOKED,5KG / TUB,TUB
13-LN1,ZZDSSAJS5LTR,"BELL DARK SOYA SAUCE ""ANG JIA SAI""",6KG / TUB,TUB
13-LN1,ZZLSG55LTR,"BELL LIGHT SOYA SAUCE ""RED CAP""",5LTR / TUB,TUB
13-LN2,ZZBV5LTR,"BLACK VINEGAR ""BEE HIANG""",5LTR / TUB,TUB
13-LN2,ZZDSSS5LTR,DARK SWEET SAUCE,4.7KG / TUB,TUB
13-LN2,ZZKCTLSS65LTR,KCT LIGHT SOYA SAUCE GRADE 6,5LTR / TUB,TUB
13-LN2,ZZKCTTPP5LTR,KCT THICK PLUM PASTE,5LTR / TUB,TUB
13-LP1,ZZCSW5LTR,"A1 CHILLI SAUCE - ""Western Sweet n Sour""",5LTR / TUB,TUB
13-LP1,ZZTK4LTR,TOMATO KETCHUP,5 x 4LTR,TUB
13-LP2,ZZDSSA5LTR,BELL DARK SOYA SAUCE GRADE A,5LTR / TUB,TUB
13-LP2,ZZKCTDSS5LTR,KCT DARK SOYA SAUCE GRADE 3,5LTR / TUB,TUB
13-LP2,ZZKCTLSS5LTR,"KCT LIGHT SOYA SAUCE - GRADE 1 ""sheng chou wang""",5 LTR / TUB,TUB
13-LP2,ZZKCTLSS25LTR,"KCT LIGHT SOYA SAUCE - GRADE 2 ""jia chi shui""",2 X 5LTR,TUB
13-LQ1,ZZDS6KG,"BELL DARK SAUCE G5 JIA SAI"" Pink Label""",6KG / TUB,TUB
13-LQ1,ZZLSS5LTR,"BELL LIGHT SOYA SAUCE ""GREEN LABEL""",4 X 5.0LTR,TUB
13-LQ2,ZZOSP2KG,BEE HIANG OYSTER SAUCE,4 x 2.5KG,PKT
13-LQ2,ZZDSS5LTR,"BELL DARK SOYA SAUCE ""RED LABEL""",4 X 5.0LTR,TUB
13-LR1,SAPDT10KG,SAPORITO DICED / CHOPPED TOMATOES,10KG / BOX,BOX
13-LR1,SAPPIS3KG,SAPORITO PASTA E PIZZA EXPRESS SAUCE,2 x 5kg,POUCH
13-LR2,ZZKAPHPS6KG,"KOREAN ALL PURPOSE HOT PEPPER SAUCE ""GoChuJang sauce""",3 x 6KG,TUB
13-LR2,YOWEVO510GM,YOWE VEGETARIAN OYSTER SAUCE,12 X 480GM,BTL
14-LA1,ZZBHVTP2250GM,BUDDHA HAND VE-TSIN POWDER,6 X 2.25KG,TIN
14-LA1,ZZMSG25KG,MSG 80%,25KG / BAG,BAG
14-LA2,ZZMPRCP1KG,MAE PLOY RED CURRY PASTE,12 X 1KG,TUB
14-LA2,ZZMPRCP400G,MAE PLOY RED CURRY PASTE,24 X 400G,TUB
14-LA2,MPTYP513GM,MAE PLOY TOM YAM PASTE,24 X 400GM,TIN
14-LB1,ZZOAV1KG,AJINOMOTO VECHIEN - ORIGINAL (MSG),20 X 1KG,PKT
14-LB1,ZZVTPSS1KG,VE-TSIN MSG SAN SHUI,25 X 1KG,PKT
14-LB2,ZZMPGCP1KG,MAE PLOY GREEN CURRY PASTE,12 X 1KG,BTL
14-LB2,ZZMPGCP400G,MAE PLOY GREEN CURRY PASTE,24 X 400G,TUB
14-LB2,ZZMNCHIO3KG,"MAE PRANOM CHILLI OIL ""tom yam paste""",6 x 3KG,TIN
14-LB2,ZZTCHPA1KG,"THAI CHILLI PASTE ""CHUA HAH SENG""",6 X 2.7KG,TIN
14-LC1,ZZRS3KG,ROCK SALT,5 X 3KG,PKT
14-LC1,ZZTSF500GM,TABLE FINE SALT,48 X 500GM,BOX
